54715;Pacific Mobile Telecom (PMT)
54720;Vini/Tikiphone
62804;Azur/Usan S.A.
62801;Libertis S.A.
62802;MOOV/Telecel
62803;Airtel/ZAIN/Celtel Gabon S.A.
60702;Africel
60703;Comium
60701;Gamcel
60704;Q-Cell
28201;Geocell Ltd.
28203;Iberiatel Ltd.
28202;Magti GSM Ltd.
28204;MobiTel/Beeline
28205;Silknet
26213;Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr
26210;DB Netz AG
26223;Drillisch Online AG
26220;Telefonica / E-Plus
26277;Telefonica / E-Plus
262999;Fix Line
26214;Lebara Ltd.
26243;Lycamobile
26221;Multiconnect GmbH
26233;sipgate Wireless GmbH
26222;sipgate Wireless GmbH
26224;TelcoVillage GmbH
26203;Telefonica / E-Plus
26205;Telefonica / E-Plus
26212;Telefonica / E-Plus
26217;Telefonica / E-Plus
26211;Telefonica / O2
26207;Telefonica / O2
26216;Telefonica / O2
26208;Telefonica / O2
26278;Telekom / T-mobile
26206;Telekom / T-mobile
26201;Telekom / T-mobile
26204;Vodafone
26202;Vodafone
26242;Vodafone
26209;Vodafone
62003;Airtel/Tigo
62006;Airtel/Tigo
62004;Expresso Ghana Ltd
62007;GloMobile
62001;MTN
62002;Vodafone
26606;CTS Mobile
26609;eazi telecom
266999;Fix Line
26601;Gibtel GSM
20207;AMD Telecom SA
20202;Cosmote
20201;Cosmote
20214;CyTa Mobile
202999;Fix Line
20204;Organismos Sidirodromon Ellados (OSE)
20203;OTE Hellenic Telecommunications Organization SA
20210;Tim/Wind
20209;Tim/Wind
20205;Vodafone
29001;Tele Greenland A/S
352110;Cable & Wireless
35230;Digicel
35250;Digicel
34008;Dauphin Telecom SU (Guadeloupe Telecom)
34010;
310470;Docomo
310370;Docomo
310140;GTA Wireless
31033;Guam Teleph. Auth.
31032;IT&E OverSeas
311250;Wave Runner LLC
70401;Claro
70403;Telefonica
70402;TIGO/COMCEL
61104;MTN/Areeba
61105;Celcom
61103;Intercel
61101;Orange/Sonatel/Spacetel
61102;SotelGui
632999;Fix Line
63201;GuineTel
63203;Orange
63202;SpaceTel
73802;Cellink Plus
73801;DigiCel
37201;Comcel
37202;Digicel
37203;Natcom
70840;Digicel
70830;HonduTel
70801;SERCOM/CLARO
70802;Telefonica/CELTEL
45428;China Mobile/Peoples
45413;China Mobile/Peoples
45412;China Mobile/Peoples
45409;China Motion
45407;China Unicom Ltd
